,preds,labels,ID
0,0.6499565628338733,Hyper,DVS129
1,0.8338957811413429,Hyper,DV.S44R
2,-0.3840335031376248,Hyper,DV.S59R
3,-0.09632584788400736,Hyper,DVS.82
4,0.612023605136759,Hyper,DVS.111
5,-1.976384881839284,Hyper,DVS.117R
6,0.5020091876337275,Hyper,DVS.144
7,1.2086401849907031,Hyper,DVS.156
8,-0.15714654920702148,Hyper,DVS.179
9,2.1598705191430763,Hyper,DVS189
10,0.6801519237144945,Hyper,DVS.203
11,0.8720342000620472,Hyper,DVS280
12,1.0492036292986944,Hyper,DVS289
13,0.5810787124465229,Hyper,X349
14,-0.06630555941427914,Normal,DVS.29R
15,-0.14977766245035462,Normal,DV.S34
16,-0.20624846392494753,Normal,DV.S52
17,0.3043187496769676,Normal,DV.S67
18,-1.51881776192186,Normal,DV.S78
19,1.4892020067586345,Normal,DVS.87
20,-2.044283222079947,Normal,DVS.97
21,-0.1678175171655106,Normal,DVS.102R
22,0.9645930913951,Normal,DVS.106
23,0.3050819408175379,Normal,DVS.162
24,0.5784081018819464,Normal,DVS.184R
25,0.22520075219124722,Normal,DVS.193
26,0.1909995636167614,Normal,DVS.198
27,-0.18782375151898653,Normal,DVS.218
28,-2.0340844895327836,Normal,DVS.225
29,-1.3113962923123332,Normal,DVS265
30,0.3387894641569484,Normal,DVS285
31,-0.23532296906205494,Normal,X319
32,-1.026362873446834,Normal,X329
33,-0.299306777733187,Normal,X339
34,-1.6840198542653286,Normal,X344
