"Row.names","hypermean","nothypermean","ttest_pval","log2_hyper_v_nothyper","wilcox_pval","cohens","deseq_pval","deseq_log2","epi_04_um_300s_pval","epi_04um_300s_spearman","epi_04_um_300s_HYPER_pval","epi_04um_300s_HYPER_spearman","overlapgroup","GOIup","GOIdown"
"AASDHPPT",123.866489273698,184.410067097166,0.0145090203015829,-0.574131480951958,0.00207546074386042,0.672459646698443,0.000634012206729681,-0.70333223851161,0.0411612300144912,-0.223313978706675,0.00209683638488641,-0.287725290614756,"wilcox_sig;deseq_sig;epicorrALL_sig",NA,"GOIdown"
"ABHD17B",28.4294764701712,50.6609401615426,0.00178551505758482,-0.833486318735101,0.00937299437713618,0.66951071287135,0.00523956363423189,-0.894438967739518,0.0163468411614261,-0.261324987851166,0.00291744461494721,-0.278764559951937,"wilcox_sig;deseq_sig;epicorrALL_sig",NA,"GOIdown"
"ABHD18",55.4716243552869,78.5316713513761,0.016944788900993,-0.50152462961194,0.0380612805556297,0.529884379247619,0.0200974558841833,-0.524571220746274,0.0655275543119632,-0.201890180059999,0.012224662487456,-0.23604855017293,"wilcox_sig;deseq_sig;epicorrALL_sig",NA,"GOIdown"
"AC004053.1",441.955846430588,642.387634352823,0.00021500387910098,-0.53954187748594,0.00619870321208062,0.785803500340159,0.00344693903467506,-0.492984475249307,0.0015873145639252,-0.339387410712471,0.000878635810027558,-0.310043353781761,"wilcox_sig;deseq_sig;epicorrALL_sig",NA,"GOIdown"
"AC006213.2",31.5235785434781,55.0767728302137,0.00129496513413701,-0.805012710410896,0.00543843694792885,0.687282254892749,0.0392370534217674,-0.59108864461663,0.000131165752534273,-0.405279519552484,0.000165735154465683,-0.34855739272712,"wilcox_sig;deseq_sig;epicorrALL_sig",NA,"GOIdown"
"AC006378.2",9.07464498912464,16.6779948676629,0.000984098618514539,-0.878032740048215,0.0192064723917449,0.648183461605813,0.00616629343613739,-0.907893203108462,0.00427615865687993,-0.308701787631298,0.00245477003875035,-0.283485400392502,"wilcox_sig;deseq_sig;epicorrALL_sig",NA,"GOIdown"
"AC016642.1",162.285918968994,286.815142324624,0.00304190177959395,-0.821583365454586,0.0203352628780332,0.571961225916454,0.0196864860431379,-0.736560960710678,0.00401851728360242,-0.310721051293987,0.00873548898723601,-0.246703460115218,"wilcox_sig;deseq_sig;epicorrALL_sig",NA,"GOIdown"
"AC062015.1",11.4900952932445,19.8009930876587,0.0432282739038784,-0.785182025177175,0.014957689556474,0.521205520814951,0.0396935666336114,-0.893438322573173,0.0157260098841677,-0.26280908033987,0.000177757784248315,-0.347037219824149,"wilcox_sig;deseq_sig;epicorrALL_sig",NA,"GOIdown"
"AC096577.1",419.125812455684,594.392903758456,0.000829438970502951,-0.504033517547598,0.0147805139708873,0.678773846028266,0.0164872471331113,-0.432605643891203,0.00261546932917903,-0.324314780742611,0.00139611518517942,-0.298380200557043,"wilcox_sig;deseq_sig;epicorrALL_sig",NA,"GOIdown"
"AC104248.1",57.8283975594213,113.23190787412,0.000284595336731396,-0.969430525425407,0.0307937353491828,0.638055548841467,0.00645737700411138,-0.915953522670538,0.137237343519982,-0.16350967269723,0.0434235820982469,-0.191215901843191,"wilcox_sig;deseq_sig;epicorrALL_sig",NA,"GOIdown"
"AC106865.1",34.2373128868198,67.6194003331137,0.00204765612814694,-0.981867745723623,0.0173634289525018,0.620691706675981,0.00833498873345534,-1.02152755676461,0.0019606150360587,-0.33310376976133,0.000846096533047109,-0.310973225131617,"wilcox_sig;deseq_sig;epicorrALL_sig",NA,"GOIdown"
"AC118549.1",89.5549853470746,127.78857138943,0.0143984810795325,-0.512913164923761,0.0135193177479943,0.594208892063131,0.00646441863412014,-0.5783627639344,0.00669033067200945,-0.29373395421102,0.00222931684767149,-0.286084759172158,"wilcox_sig;deseq_sig;epicorrALL_sig",NA,"GOIdown"
"ACADSB",30.0649961284394,49.6969568899657,0.00785779076538182,-0.725072740720531,0.0351717060241182,0.566926680206791,0.0280487695964957,-0.763867374729382,0.0327122022627872,-0.233283043292766,0.0071958348240461,-0.252658591189073,"wilcox_sig;deseq_sig;epicorrALL_sig",NA,"GOIdown"
"ACAP2",463.045739658232,571.815693049391,0.0172931122652852,-0.304395504246151,0.0307937353491828,0.472345594827301,0.0129571334104178,-0.340744401401508,0.076145379060718,-0.194566583643192,0.0439849682591373,-0.190716052419275,"wilcox_sig;deseq_sig;epicorrALL_sig",NA,"GOIdown"
"ACTR3C",5.20638213540444,11.1471975990843,0.000322094477149245,-1.09832795184304,0.00102821229372656,0.809326590837946,0.00321049599060014,-1.03562202699103,0.0153891453680396,-0.2636356464086,0.00872892372642059,-0.246726814748622,"wilcox_sig;deseq_sig;epicorrALL_sig",NA,"GOIdown"
"AFF4",93.495846275956,127.356440661643,0.194247618403518,-0.445897744167236,0.0102874848429263,0.429507379860062,7.94062254288862e-05,-0.97520450439411,0.0251314008030584,-0.24428195185023,0.0463114263992441,-0.188699565854415,"wilcox_sig;deseq_sig;epicorrALL_sig",NA,"GOIdown"
"AHR",34.4223803327998,61.2390650448485,0.00330675338455403,-0.831105392702585,0.00285446762121518,0.683959314749714,0.00107145506358155,-0.92404285410656,0.0192409249785617,-0.254988786445755,0.00456693233169763,-0.266120687736588,"wilcox_sig;deseq_sig;epicorrALL_sig",NA,"GOIdown"
"AK6",79.8503144891867,158.395687503626,0.0150415853595853,-0.988163062205219,0.0176174153815384,0.488125097065182,0.0170278393565941,-0.933466884743479,0.0230945113814259,-0.247715837307073,0.00387092661716323,-0.27085430450325,"wilcox_sig;deseq_sig;epicorrALL_sig",NA,"GOIdown"
"AL049828.1",87.724299796816,165.802640475467,0.000315238475144835,-0.918418550135982,0.000883786729895915,0.807575099386966,0.00242214616591409,-0.80762529906594,0.00640165571604188,-0.295243243099131,8.37861840296096e-05,-0.362976126109326,"wilcox_sig;deseq_sig;epicorrALL_sig",NA,"GOIdown"
"AL133163.2",19.202041622886,28.8959724773524,0.0124923904999872,-0.589608712720234,0.040090937029044,0.566547121653632,0.0109285444902411,-0.703443689549135,0.00866843411529095,-0.284708609249229,0.0143241380783261,-0.230866350589933,"wilcox_sig;deseq_sig;epicorrALL_sig",NA,"GOIdown"
"AL136382.1",10.8347454171811,20.2924450016108,0.0174975954140288,-0.905277448414977,0.0267151032856978,0.495721152384844,0.0391987555836123,-0.986284821993666,0.00554840354609958,-0.300085241642199,0.00367760181017005,-0.272304468246797,"wilcox_sig;deseq_sig;epicorrALL_sig",NA,"GOIdown"
"AL137024.1",61.3619957282081,121.934965225256,0.00594752099116861,-0.990694571801261,0.00445512988525359,0.552566422747834,0.0171169029659645,-0.746109439740496,0.00692703408550922,-0.292538678447281,0.00454737745028505,-0.266244582038243,"wilcox_sig;deseq_sig;epicorrALL_sig",NA,"GOIdown"
